position,field_name,sample_value
179,CO BORROWER DATE OF BIRTH,
180,UNIVERSAL LOAN ID,
181,LPMI FLAG,
182,ENOTE,
183,YEAR PROPERTY BUILT,
184,ACH EFFECTIVE DATE,
185,ACH ROUT-TRANS NO,
186,ACH BANK ACCT NO,
187,ACH DELAY DAYS,
188,ACH ACCOUNT TYPE,
189,FOREIGN LANGUAGE INDICATOR,
190,HAZ INS TYPE 1,
191,HAZ INS PAYEE 1,
192,HAZ INS DUE DATE 1,
193,HAZ INS EXP DATE 1,
194,HAZ INS PREM AMT 1,
195,HAZ INS ESROW IND 1,
196,HAZ INS AMT COVER 1,
197,HAZ INS TYPE OF COVERAGE 1,
198,HAZ INS POL NUM 1,
199,HAZ INS TYPE 2,
200,HAZ INS PAYEE 2,
201,HAZ INS DUE DATE 2,
202,HAZ INS EXP DATE 2,
203,HAZ INS PREM AMT 2,
204,HAZ INS ESROW IND 2,
205,HAZ INS AMT COVER 2,
206,HAZ INS TYPE OF COVERAGE 2,
207,HAZ INS POL NUM 2,
208,HAZ INS TYPE 3,
209,HAZ INS PAYEE 3,
210,HAZ INS DUE DATE 3,
211,HAZ INS EXP DATE 3,
212,HAZ INS PREM AMT 3,
213,HAZ INS ESROW IND 3,
214,HAZ INS TYPE OF COVERAGE 3,
215,HAZ INS POL NUM 3,
216,HAZ INS TYPE 4,
217,HAZ INS PAYEE 4,
218,HAZ INS DUE DATE 4,
219,HAZ INS EXP DATE 4,
220,HAZ INS PREM AMT 4,
221,HAZ INS ESROW IND 4,
222,HAZ INS AMT COVER 4,
223,HAZ INS TYPE OF COVERAGE 4,
224,HAZ INS POL NUM 4,
225,FN BORR1UNIQUEID,
226,FN BORR2UNIQUEID,
227,FN BORR3UNIQUEID,
228,FN BORR4UNIQUEID,
229,Hold Back Amount,
230,Hold Back Inspection,
231,CORRESPONDENT SELLER,
232,BORRISNONPERSONENTITY,
233,COBORRISNONPERSONENTITY,
234,WAREHOUSELENDER,
235,RECOURSE FLAG,
236,RECOURSE EXPIRATION DATE,
237,DOCUMENT CUSTODIAN,
238,NY CEMA Loan Y/N,
239,Renovation Loan Y/N,
240,Constrution Loan Y/N,
241,Homepossible Loan Y/N,
242,Appraisal Required Y/N,
243,203K Loan Y/N,
244,Mortgagor Language Preference,
245,Borrower Demographics Race Code 1,
246,Borrower Demographics Race Code 2,
247,Borrower Demographics Race Code 3,
248,Borrower Demographics Race Code 4,
249,Borrower Demographics Race Code 5,
250,Borrower Demographics American Indian/Alaskan Native Race Subcategory Code,
251,Borrower Demographics Asian Race Subcategory Code 1,
252,Borrower Demographics Asian Race Subcategory Code 2,
253,Borrower Demographics Asian Race Subcategory Code 3,
254,Borrower Demographics Asian Race Subcategory Code 4,
255,Borrower Demographics Asian Race Subcategory Code 5,
256,Borrower Demographics Asian Race Subcategory Code 6,
257,Borrower Demographics Asian Race Subcategory Code 7,
258,Borrower Demographics Native Hawaiian/ Other Pacific Islander Race Subcategory Code 1,
259,Borrower Demographics Native Hawaiian/ Other Pacific Islander Race Subcategory Code 2,
260,Borrower Demographics Native Hawaiian/ Other Pacific Islander Race Subcategory Code 3,
261,Borrower Demographics Native Hawaiian/ Other Pacific Islander Race Subcategory Code 4,
262,Borrower Demographics Gender,
263,Borrower Demographics Age,
264,Borrower Ethnicity Code,
265,Borrower Ethnicity Subcategory Code 1,
266,Borrower Ethnicity Subcategory Code 2,
267,Borrower Ethnicity Subcategory Code 3,
268,Borrower Ethnicity Subcategory Code 4,
269,Co-Borrower Language Preference,
270,Co-Borrower Demographics Race Code 1,
271,Co-Borrower Demographics Race Code 2,
272,Co-Borrower Demographics Race Code 3,
273,Co-Borrower Demographics Race Code 4,
274,Co-Borrower Demographics Race Code 5,
275,Co-Borrower Demographics American Indian/Alaskan Native Race Subcategory Code,
276,Co-Borrower Demographics Asian Race Subcategory Code 1,
277,Co-Borrower Demographics Asian Race Subcategory Code 2,
278,Co-Borrower Demographics Asian Race Subcategory Code 3,
279,Co-Borrower Demographics Asian Race Subcategory Code 4,
280,Co-Borrower Demographics Asian Race Subcategory Code 5,
281,Co-Borrower Demographics Asian Race Subcategory Code 6,
282,Co-Borrower Demographics Asian Race Subcategory Code 7,
283,Co-Borrower Demographics Native Hawaiian/ Other Pacific Islander Race Subcategory Code 1,
284,Co-Borrower Demographics Native Hawaiian/ Other Pacific Islander Race Subcategory Code 2,
285,Co-Borrower Demographics Native Hawaiian/ Other Pacific Islander Race Subcategory Code 3,
286,Co-Borrower Demographics Native Hawaiian/ Other Pacific Islander Race Subcategory Code 4,
287,Co-Borrower Demographics Gender,
288,Co-Borrower Demographics Age,
289,Co-Borrower Ethnicity Code,
290,Co-Borrower Ethnicity Subcategory Code 1,
291,Co-Borrower Ethnicity Subcategory Code 2,
292,Co-Borrower Ethnicity Subcategory Code 3,
293,Co-Borrower Ethnicity Subcategory Code 4,
