position,field_name,sample_value
133,main.SellerLoanIdentifier,"""=""""101235400000729058"""""""
134,main.LoanLevelCreditScoreValue,"""=""""12642601073396"""""""
135,main.LoanProgramIdentifier,745
136,main.LoanStateAtClosing,LoanFirstTimeHomeBuyer
137,main.LoanStateCurrent,2026-02-12
138,main.BaseLTVRatioPercent,2026-02-23
139,main.LTVRatioPercent,0.95
140,main.LoanMaturityDate,0.95
141,main.LoanMaturityPeriodCount,2056-03-01
142,main.LoanMaturityPeriodType,360
143,main.MIPremiumPlanType,Month
144,main.MICertificateIdentifier,Monthly
145,main.MICompanyNameType,73355893
146,main.MICompanyNameTypeOtherDescription,Radian
147,main.MICoveragePercent,NMI
148,main.MIPremiumFinancedAmount,0.3
149,main.MIPremiumFinancedIndicator,false
150,main.MIPremiumSourceType,false
151,main.PrimaryMIAbsenceReasonType,Borrower
152,main.NegativeAmortizationLimitPercent,NoMIBasedOnOriginalLTV
153,main.InitialPrincipalAndInterestPaymentAmount,0.0
154,main.PaymentFrequencyType,1550.07
155,main.ScheduledFirstPaymentDate,Monthly
156,main.AggregateLoanCurtailmentAmount,2026-04-01
157,main.LastPaidInstallmentDueDate,2026-03-01
158,main.LastPaymentReceivedDate,2026-03-01
159,main.UPBAmount,2026-03-01
160,main.BorrowerReservesMonthlyPaymentCount,251750.0
161,main.BorrowerGroupTotalDebtToIncomeRatioRate,8
162,main.TotalLiabilitiesMonthlyPaymentAmount,0.4611764706
163,main.TotalMonthlyIncomeAmount,3136.0
164,main.TotalMonthlyProposedHousingExpenseAmount,6800.0
165,main.RefinanceCashOutDeterminationType,2324.0
166,main.PriceLockDatetime,LimitedCashOut
167,main.DelinquentPaymentsOverPastTwelveMonthsCount,2026-01-30T00:00:00
168,main.LienPriorityType,0
169,main.LoanPurposeType,FirstLien
170,main.MortgageType,Purchase
171,main.NoteAmount,Conventional
172,main.NoteDate,251750.0
173,main.NoteRatePercent,2026-02-12
174,main.AutomatedUnderwritingCaseIdentifier,0.0625
175,main.AutomatedUnderwritingRecommendationDescription,1715685558
176,main.AutomatedUnderwritingSystemType,ApproveEligible
177,main.LoanManualUnderwritingIndicator,DesktopUnderwriter
178,main.OtherTax,false
179,parties.InvestorLoanIdentifier,4033528965
180,parties.PartySequence,1
181,parties.AddressLineText,3825 LAUREL VIEW DR
182,parties.AddressType,Mailing
183,parties.CityName,KISSIMMEE
184,parties.CountryCode,US
185,parties.PostalCode,34744
186,parties.StateCode,FL
187,parties.FirstName,LIZBETH
188,parties.LastName,SANTIAGO GONZALEZ
189,parties.MiddleName,D
190,parties.SuffixName,Jr
191,parties.FullName,"""Columbus Capital Lending"
192,parties.SellerName,"""Columbus Capital Lending"
193,parties.PartyRoleIdentifier,"LLC"""
194,parties.AppraiserLicenseIdentifier_1,308480003
195,parties.AppraiserLicenseIdentifier_2,285970008
196,parties.BorrowerAgeAtApplicationYearsCount,55
197,parties.BorrowerBirthDate,1970-05-15
198,parties.BorrowerClassificationType,Primary
199,parties.BorrowerMailToAddressSameAsPropertyIndicator,true
200,parties.BorrowerQualifyingIncomeAmount,6800.0
201,parties.CreditReportIdentifier,3132536
202,parties.CreditRepositorySourceIndicator,true
203,parties.CreditRepositorySourceType,Experian
204,parties.CreditScoreValue,745
205,parties.BankruptcyIndicator,false
206,parties.CitizenshipResidencyType,USCitizen
207,parties.LoanForeclosureOrJudgmentIndicator,false
208,parties.EmploymentBorrowerSelfEmployedIndicator,false
209,parties.HMDAEthnicityType,HispanicOrLatino
210,parties.HMDAEthnicityOriginType,PuertoRican
211,parties.GenderType,Female
212,parties.HMDARaceDesignationType,Chinese
213,parties.HMDARaceType,White
214,parties.LoanOriginatorType,Lender
215,parties.PartyRoleType,Appraiser
216,parties.TaxpayerIdentifierType,SocialSecurityNumber
217,parties.TaxpayerIdentifierValue,"""=""""079627764"""""""
218,srppricing.InvestorLoanIdentifier,4033528965
219,srppricing.SRPPricingSequence,1
220,srppricing.ExceptionPricingIndicator,false
221,srppricing.FundedSRPProceeds,1818.58
222,srppricing.GrossSRPAmount,3524.50
223,srppricing.GrossSRPPercent,1.40000
224,srppricing.NetSRPAmount,3450.34
225,srppricing.NetSRPPercent,1.37054
226,srppricing.ServicerFeesDescription,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees
227,srppricing.ServicerFeesItemizedAmount,0;74.16;0
228,srppricing.ServicerFees,74.16
229,srppricing.BaseSRPAttributeAmortizationTerm,360
230,srppricing.BaseSRPAttributeAmortizationType,Fixed
231,srppricing.BaseSRPAttributeLoanType,Conventional
232,srppricing.BaseSRPAdjustment,1.25
233,srppricing.SRPHoldbackAmount,0.00
234,srppricing.SRPHoldbackPercent,0.00000
235,srppricing.SRPAttributeAdjustment,-0.0125
236,srppricing.SRPAttributeType,Debt To Income
237,srppricing.SRPAttributeValue,46.0
238,srppricing.SRPGridIdentifier,1VKaS4pO
